Heart Rate (BPM),Blood Oxygen Level (%)
58.93977586209927,98.80965025422655
,98.53219515895226
247.80305229234318,97.05295352461383
40,96.89421334689396
61.950165287154064,98.58379675916517
96.28593768588723,94.2029097779196
47.27225670219411,95.38976001
81.73349679221296,95.98134260868015
93.34033768144009,97.21894484728315
51.40996727987549,97.27278686705215
101.91493806087537,
73.85294067228806,95.39944002358109
95.37229036722503,99.15265159443172
79.06263167243848,99.01491345546357
68.09020292958444,99.72973954402643
40,99.04772547056064
58.2779626987928,97.78972645147674
,96.05285348429064
98.05924946042926,96.02709912891096
53.93020624079926,96.30256923405778
74.10500253274513,99.64606450575437
68.31010413084853,
81.26723472758928,96.06816145748866
76.32552029631407,98.75711035080639
69.42479491992782,99.25495076372934
84.58662488247226,99.02468690832053
64.62704386367523,99.78959923982669
75.16860350791544,98.10010128415522
86.5515986753003,97.47263459341158
64.10446780919304,98.14712187549833
69.61567440976185,100
66.62971236762343,99.51747431286019
81.78254064837381,98.18899113980399
80.24336481276285,100
67.2278321892843,100
80.11309120817684,100
40,100
87.5290861186297,100
88.4355194977685,100
67.4042823010518,92.65567270210363
64.42024701043401,98.42435020954122
74.1371473477043,95.06438018699068
61.348923654465594,100
63.6801754966651,97.37429827897157
79.61779161635499,98.8943730316892
87.13591831447418,97.70827610264823
79.76807351739672,100
118.29493321826283,95.62932747772741
93.72881218824756,99.41376031907605
86.03063332431728,95.91431915983793
85.48782567979367,93.72753353750217
76.30138328743868,98.37515942883158
82.56980160801169,95.55137229772569
77.96393073389999,95.0098460840355
90.76257818155062,94.86025082018959
70.81290842831523,97.22179633904045
70.01131339671613,99.86637885565929
92.67102360421899,95.07724752637232
68.10013871862537,100
60.82606954030797,96.92388341755054
63.77805794778227,95.87135566650205
86.22925548074167,100
115.07828810239958,99.92804063734225
61.684635107264285,99.62675298510825
84.67722962095758,98.46340229262316
77.3066427033104,95.85509586003876
91.92283491914716,100
84.54568992813458,98.05750152154894
92.85283683620152,98.27067917804666
79.38203545794906,98.78567385638786
62.47839020361005,99.98256600965301
64.79977847671675,94.74385746938631
78.17970894479012,97.91523601154992
82.00624112263787,97.09234007387157
69.23683245606956,100
,100
89.11832897571975,98.58593453879398
43.74140206186796,95.37323750308747
73.15646556066172,96.81891253134198
59.55423801799281,92.9484073471339
103.59423924190713,100
41.709895125700164,96.85734694900182
81.28112871682107,100
76.84986596442882,96.880668208062
87.20860676159504,97.60522245561137
79.84141585314687,97.24506117642059
106.0398703170913,94.8075262835834
88.76895700279972,94.74363714609684
47.42860420621099,100
96.06324242512707,96.47894031643833
78.04729995908488,99.49580560965047
96.08870081294506,100
70.24380997861381,97.17113365305784
59.06505477637778,98.9211809875014
56.22934454812436,98.57779006324172
90.92094064903146,98.66834392840322
86.95767522612503,98.97829842731086
66.12078656148493,95.60040643806028
40,95.10799128880181
91.49512214091325,97.9311802379078
44.43713860466395,100
107.60866727528338,99.83937258356679
53.318786295356645,95.1680515708946
75.21115231997146,99.15080770482548
